video_frame,segment,x_m,y_m,z_m
943,l_uarm,0.727941,-0.153641,4.961758
943,r_uarm,0.438569,-0.315181,4.653536
943,l_larm,0.955380,-0.018490,5.125002
943,r_larm,0.126967,-0.305202,4.772218
943,l_hand,1.216799,-0.116403,5.041819
943,r_hand,-0.116486,-0.148294,4.784568
944,l_thigh,0.338577,-0.056603,5.209754
944,r_thigh,0.150117,0.017593,5.020531
944,l_shank,0.390469,0.344801,5.511475
944,r_shank,0.223774,0.459825,5.007118
944,l_foot,0.265436,0.444630,5.966497
944,r_foot,0.218765,0.848033,5.225973
944,l_uarm,0.728348,-0.144393,4.953080
944,r_uarm,0.435679,-0.324396,4.656504
944,l_larm,0.942318,0.005835,5.115663
944,r_larm,0.124041,-0.308658,4.776964
944,l_hand,1.217802,-0.094216,5.034620
944,r_hand,-0.113477,-0.141751,4.783217
945,l_thigh,0.341462,-0.052379,5.207677
945,r_thigh,0.178072,0.045943,4.991078
945,l_shank,0.386666,0.348496,5.508113
945,r_shank,0.225491,0.462626,5.009072
945,l_foot,0.261591,0.437755,5.963697
945,r_foot,0.217605,0.847851,5.227299
945,l_uarm,0.734940,-0.132187,4.937503
945,r_uarm,0.428901,-0.330481,4.657159
945,l_larm,0.938863,0.023060,5.096428
945,r_larm,0.123137,-0.304974,4.776838
945,l_hand,1.216083,-0.074647,5.026470
945,r_hand,-0.113551,-0.136378,4.780395
946,l_thigh,0.347455,-0.034649,5.206547
946,r_thigh,0.178742,0.041211,4.990468
946,l_shank,0.378338,0.354478,5.500618
946,r_shank,0.234417,0.454963,4.999862
946,l_foot,0.245684,0.437875,5.961106
946,r_foot,0.218252,0.845338,5.225985
946,l_uarm,0.729469,-0.132915,4.926857
946,r_uarm,0.427368,-0.335831,4.658756
946,l_larm,0.934080,0.042191,5.083796
946,r_larm,0.118508,-0.303842,4.780501
946,l_hand,1.214592,-0.059419,5.011663
946,r_hand,-0.109348,-0.124489,4.781687
947,l_thigh,0.341905,-0.021762,5.213759
947,r_thigh,0.147570,0.013584,5.020652
947,l_shank,0.377064,0.355202,5.499320
947,r_shank,0.224514,0.454019,5.009273
947,l_foot,0.236347,0.435776,5.959077
947,r_foot,0.218824,0.849846,5.227221
947,l_uarm,0.738668,-0.122722,4.923906
947,r_uarm,0.420113,-0.339207,4.660846
947,l_larm,0.931716,0.064008,5.063835
947,r_larm,0.117078,-0.301047,4.784359
947,l_hand,1.207746,-0.035105,5.009069
947,r_hand,-0.106367,-0.117796,4.777982
948,l_thigh,0.357053,-0.034096,5.199346
948,r_thigh,0.143610,0.026894,5.020274
948,l_shank,0.374243,0.355699,5.497399
948,r_shank,0.229813,0.463504,5.008975
948,l_foot,0.228767,0.429888,5.955053
948,r_foot,0.217655,0.847185,5.225606
948,l_uarm,0.732761,-0.116573,4.914145
948,r_uarm,0.417862,-0.345960,4.664346
948,l_larm,0.923946,0.084685,5.044805
948,r_larm,0.115348,-0.295436,4.790136
948,l_hand,1.205124,-0.015332,5.005486
948,r_hand,-0.106586,-0.114282,4.779551
949,l_thigh,0.350130,-0.030694,5.194322
949,r_thigh,0.142579,0.024671,5.027197
949,l_shank,0.373117,0.359432,5.490359
949,r_shank,0.223600,0.459189,5.011188
949,l_foot,0.219404,0.427433,5.948593
949,r_foot,0.216383,0.850106,5.224742
949,l_uarm,0.727305,-0.110277,4.907610
949,r_uarm,0.417710,-0.352669,4.670146
949,l_larm,0.911697,0.101488,5.023043
949,r_larm,0.115158,-0.294131,4.794022
949,l_hand,1.197561,0.008276,4.996677
949,r_hand,-0.103015,-0.105970,4.782465
950,l_thigh,0.348466,-0.035321,5.187004
950,r_thigh,0.143398,0.026613,5.011867
950,l_shank,0.363212,0.357341,5.484831
950,r_shank,0.224405,0.455132,5.009717
950,l_foot,0.205358,0.425959,5.948282
950,r_foot,0.217547,0.851702,5.223510
950,l_uarm,0.742293,-0.106762,4.894394
950,r_uarm,0.414607,-0.361008,4.674908
950,l_larm,0.904604,0.123149,4.997165
950,r_larm,0.115812,-0.295934,4.794521
950,l_hand,1.191613,0.034121,4.999658
950,r_hand,-0.099700,-0.099822,4.777751
951,l_thigh,0.344073,-0.028907,5.191668
951,r_thigh,0.144384,0.031574,5.015604
951,l_shank,0.359382,0.362024,5.484749
951,r_shank,0.230654,0.457573,5.009675
951,l_foot,0.193764,0.423686,5.942315
951,r_foot,0.217112,0.847348,5.224423
951,l_uarm,0.727084,-0.116244,4.886923
951,r_uarm,0.414974,-0.365017,4.676947
951,l_larm,0.900979,0.134614,4.979791
951,r_larm,0.113557,-0.289482,4.796793
951,l_hand,1.192590,0.059214,4.969081
951,r_hand,-0.097848,-0.094053,4.780521
952,l_thigh,0.348779,-0.034765,5.181523
952,r_thigh,0.144686,0.023391,5.012917
952,l_shank,0.350910,0.371540,5.476599
952,r_shank,0.222554,0.459341,5.011686
952,l_foot,0.187623,0.417499,5.936906
952,r_foot,0.215653,0.848996,5.225119
952,l_uarm,0.728805,-0.109040,4.875197
952,r_uarm,0.410251,-0.368790,4.684025
952,l_larm,0.887625,0.146631,4.954214
952,r_larm,0.114080,-0.291609,4.803951
952,l_hand,1.176130,0.081891,4.974504
952,r_hand,-0.095133,-0.088624,4.779699
953,l_thigh,0.350060,-0.022172,5.186378
953,r_thigh,0.148133,0.032732,5.010009
953,l_shank,0.339894,0.372461,5.475947
953,r_shank,0.219347,0.453761,5.013136
953,l_foot,0.179225,0.414352,5.932641
953,r_foot,0.213997,0.845908,5.224271
953,l_uarm,0.714745,-0.106201,4.870640
953,r_uarm,0.410037,-0.378233,4.686809
953,l_larm,0.880090,0.161614,4.931975
953,r_larm,0.109962,-0.286389,4.806844
953,l_hand,1.172723,0.111940,4.952690
953,r_hand,-0.089954,-0.082385,4.777260
954,l_thigh,0.350791,-0.021692,5.182931
954,r_thigh,0.144940,0.035246,5.004040
954,l_shank,0.328412,0.375066,5.471599
954,r_shank,0.213660,0.461746,5.021063
954,l_foot,0.167975,0.414494,5.928761
954,r_foot,0.213246,0.846382,5.226665
954,l_uarm,0.718558,-0.101668,4.858485
954,r_uarm,0.410863,-0.381274,4.691843
954,l_larm,0.867570,0.173325,4.911423
954,r_larm,0.111539,-0.286649,4.809906
954,l_hand,1.163204,0.135381,4.944615
954,r_hand,-0.085887,-0.079033,4.778894
955,l_thigh,0.350356,-0.016097,5.182773
955,r_thigh,0.145393,0.034450,5.005496
955,l_shank,0.329348,0.382861,5.463226
955,r_shank,0.216596,0.461004,5.016778
955,l_foot,0.160216,0.411985,5.924303
955,r_foot,0.213450,0.843788,5.226225
955,l_uarm,0.720407,-0.105723,4.843841
955,r_uarm,0.412071,-0.387477,4.698799
955,l_larm,0.858317,0.185732,4.891344
955,r_larm,0.111984,-0.283070,4.809809
955,l_hand,1.152506,0.161498,4.934866
955,r_hand,-0.079172,-0.073410,4.777877
956,l_thigh,0.368646,-0.028885,5.180824
956,r_thigh,0.155592,-0.015547,5.067031
956,l_shank,0.314629,0.385271,5.468592
956,r_shank,0.208709,0.452465,5.020866
956,l_foot,0.150058,0.407851,5.920311
956,r_foot,0.215015,0.849071,5.227455
956,l_uarm,0.713935,-0.102216,4.829510
956,r_uarm,0.410258,-0.390082,4.701805
956,l_larm,0.852998,0.196209,4.871722
956,r_larm,0.113764,-0.283586,4.810721
956,l_hand,1.133657,0.192366,4.914616
956,r_hand,-0.074258,-0.067528,4.773735
957,l_thigh,0.362482,-0.019735,5.173898
957,r_thigh,0.150172,-0.014934,5.076804
957,l_shank,0.307029,0.385486,5.461162
957,r_shank,0.206981,0.450242,5.021724
957,l_foot,0.142696,0.405608,5.915014
957,r_foot,0.213218,0.848993,5.225175
957,l_uarm,0.711475,-0.105232,4.814944
957,r_uarm,0.414047,-0.396632,4.704234
957,l_larm,0.841408,0.200608,4.845055
957,r_larm,0.111371,-0.279761,4.811553
957,l_hand,1.127432,0.217331,4.899886
957,r_hand,-0.071719,-0.062575,4.772654
958,l_thigh,0.370572,-0.014985,5.181602
958,r_thigh,0.150643,-0.007582,5.062693
958,l_shank,0.303372,0.384560,5.459189
958,r_shank,0.201872,0.456103,5.024891
958,l_foot,0.134268,0.400738,5.914400
958,r_foot,0.215437,0.846102,5.226696
958,l_uarm,0.706315,-0.095518,4.809828
958,r_uarm,0.416225,-0.398992,4.708185
958,l_larm,0.834861,0.209391,4.827697
958,r_larm,0.115383,-0.279874,4.814223
958,l_hand,1.120194,0.242735,4.885358
958,r_hand,-0.068430,-0.058716,4.772146
959,l_thigh,0.377583,-0.007178,5.174345
959,r_thigh,0.148009,-0.017701,5.076544
959,l_shank,0.294310,0.384254,5.455647
959,r_shank,0.202026,0.453247,5.023074
959,l_foot,0.127454,0.399291,5.906547
959,r_foot,0.213275,0.846350,5.226612
959,l_uarm,0.690461,-0.092199,4.805225
959,r_uarm,0.412861,-0.401232,4.713063
959,l_larm,0.825011,0.219494,4.810919
959,r_larm,0.119190,-0.274953,4.816705
959,l_hand,1.102380,0.271511,4.865190
959,r_hand,-0.060665,-0.054367,4.769134
960,l_thigh,0.369447,-0.007502,5.167475
960,r_thigh,0.149400,-0.016504,5.081570
960,l_shank,0.283285,0.378595,5.448178
960,r_shank,0.198466,0.446710,5.023695
960,l_foot,0.121160,0.394617,5.904483
960,r_foot,0.213926,0.846628,5.228721
960,l_uarm,0.689052,-0.083944,4.792541
960,r_uarm,0.408093,-0.404377,4.718576
960,l_larm,0.810387,0.221326,4.785669
960,r_larm,0.118868,-0.272443,4.821377
960,l_hand,1.090362,0.300325,4.846955
960,r_hand,-0.061210,-0.049878,4.774428
961,l_thigh,0.375917,-0.004716,5.172662
961,r_thigh,0.155941,-0.015679,5.078154
961,l_shank,0.284047,0.381315,5.453240
961,r_shank,0.191528,0.447546,5.023236
961,l_foot,0.112748,0.393967,5.898606
961,r_foot,0.210945,0.845510,5.227319
961,l_uarm,0.684578,-0.082716,4.780741
961,r_uarm,0.412714,-0.407016,4.718273
961,l_larm,0.799702,0.224667,4.762824
961,r_larm,0.115492,-0.270054,4.823741
961,l_hand,1.076768,0.328914,4.827947
961,r_hand,-0.051978,-0.039569,4.773384
962,l_thigh,0.341146,0.012143,5.172321
962,r_thigh,0.151632,-0.013275,5.077068
962,l_shank,0.270817,0.387059,5.444157
962,r_shank,0.189631,0.448489,5.025045
962,l_foot,0.103690,0.393423,5.892459
962,r_foot,0.211817,0.843751,5.228298
962,l_uarm,0.677071,-0.079391,4.771760
962,r_uarm,0.414269,-0.408006,4.724644
962,l_larm,0.792012,0.227615,4.743616
962,r_larm,0.121587,-0.266744,4.827777
962,l_hand,1.067440,0.349624,4.807907
962,r_hand,-0.049252,-0.038127,4.776033
963,l_thigh,0.371502,0.007262,5.170049
963,r_thigh,0.152017,-0.021036,5.082751
963,l_shank,0.263351,0.383054,5.441001
963,r_shank,0.190990,0.449926,5.027895
963,l_foot,0.094168,0.393322,5.889318
963,r_foot,0.214094,0.849549,5.226432
963,l_uarm,0.675479,-0.079133,4.761984
963,r_uarm,0.412677,-0.409356,4.725370
963,l_larm,0.783383,0.232060,4.730414
963,r_larm,0.125208,-0.267780,4.832400
963,l_hand,1.045669,0.377604,4.779766
963,r_hand,-0.042983,-0.036186,4.774640
964,l_thigh,0.354292,0.014539,5.163371
964,r_thigh,0.152086,-0.007885,5.083865
964,l_shank,0.258873,0.381947,5.435676
964,r_shank,0.187777,0.454266,5.025729
964,l_foot,0.083580,0.391679,5.888377
964,r_foot,0.212617,0.850471,5.226484
964,l_uarm,0.675592,-0.073390,4.742641
964,r_uarm,0.415358,-0.411591,4.728137
964,l_larm,0.773460,0.234530,4.716154
964,r_larm,0.127590,-0.263212,4.832139
964,l_hand,1.029484,0.413866,4.754012
964,r_hand,-0.038196,-0.033567,4.770880
