test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs]
2023-02-18,High School,<65,,38.3,4442.91,3644.24,52.58,5857.92,491.0,285.5,0.57,-40.12,6.05,14.68,12.5,10.56,1857.42,1867.35,88.8,35.06,3497.04,50.47,3.76,7.02,2677.3,1997.21,987.3,1134.8,1545.7,45523.04,27.19,2.74,163.53,,,,,74.0,70.0,34.7,34.2,25.0,20.9,,,,2023-02-17,52.6,21.9,2.94,152.46
2023-02-18,High School,<65,,35.04,3349.88,3238.35,47.04,3698.86,538.5,323.0,0.41,-39.72,2.71,1.4,0.73,-5.68,1497.73,1497.67,166.7,31.96,3275.25,47.58,4.13,-2.18,2855.0,2178.83,1883.3,1890.7,1983.6,45264.14,24.93,2.69,146.99,,,,,55.0,60.0,33.8,33.1,31.9,27.2,,,,2023-02-17,52.5,22.8,3.23,151.45
2023-02-22,High School,<65,,,,,,,,,,,,,,,,,,,,,,,2969.5,2318.63,984.5,1190.8,1436.3,,,,,,,,,61.0,64.0,40.1,43.4,35.5,39.8,,,,2023-02-21,57.4,22.9,,
2023-02-22,College,,<80,,,,,,,,,,,,,,,,,,,,,,3247.5,2468.75,1196.2,1580.4,2001.8,,,,,,,,,63.0,60.0,42.2,40.0,34.8,39.9,2023-02-21,66.3,40.8,,,,,
2023-02-23,Pro,70+,,45.9,7467.15,6426.35,62.46,9535.11,436.25,262.0,0.67,-36.83,20.5,19.31,9.19,0.81,2814.93,2821.62,72.33,,,,,,3962.7,2947.81,1938.1,2652.0,3160.8,,,,,,,,,66.0,59.0,59.2,65.1,53.4,62.4,,,,2023-02-23,76.8,25.0,2.92,226.38
2023-02-23,College,,<80,29.07,4757.27,3409.21,43.34,6041.63,436.0,298.67,0.48,-36.95,6.81,2.76,9.41,6.99,1791.82,1804.88,61.25,25.06,3194.51,40.59,-1.76,3.47,,,,,,,,,,,,,,,,,,,,2023-02-21,66.3,40.8,,,,,173.07
2023-02-23,Pro,,85-90,,,,,,,,,,,,,,,,,,,,,,4944.2,3973.54,1905.2,2443.7,3051.0,,,,,,,,,71.0,65.0,46.1,51.0,53.1,47.4,2023-02-23,87.0,34.4,,,,,
2023-02-24,High School,65-70,,38.33,5386.11,4354.09,58.37,4694.18,505.25,222.25,0.54,-25.65,4.34,13.21,9.43,-3.13,1941.2,1706.85,327.0,35.38,4062.41,54.46,10.94,4.27,2800.7,2069.12,1121.8,1264.9,1482.5,,,,,,,,,60.0,50.0,36.7,40.6,26.8,33.8,,,,2023-02-27,65.3,29.1,2.83,164.12
2023-02-24,Pro,,<80,43.03,5340.18,5479.12,56.05,7419.44,519.75,322.25,0.58,-45.69,5.77,7.62,7.26,7.09,2460.18,2521.88,83.88,35.14,4724.07,48.32,-0.64,5.08,3513.1,2554.4,1595.7,1963.8,2386.4,,,,,,,,,78.0,74.0,53.8,56.0,54.5,43.3,2023-02-23,72.1,36.8,,,,2.66,215.07
2023-02-28,College,,<80,34.64,7131.33,4534.61,52.52,8686.03,425.0,235.5,0.57,-28.99,6.27,0.63,8.32,9.53,2161.78,2133.73,72.4,30.0,3926.35,45.47,0.74,8.4,3619.4,2772.6,1252.7,1570.6,2009.9,,,,,,,,,60.0,55.0,40.1,48.2,36.2,34.5,2023-03-01,63.5,42.1,,,,3.27,189.97
2023-03-02,College,,<80,44.33,4895.4,4613.01,56.68,7136.57,468.25,298.5,0.62,-42.04,-5.49,-7.29,-2.49,-4.31,2094.85,2106.18,48.55,40.85,4312.56,52.99,-3.48,-1.74,3352.7,2554.54,1415.5,2019.1,2239.1,,,,,,,,,46.0,68.0,52.0,42.2,58.0,35.7,2023-03-09,75.1,34.1,,,,3.2,179.06
2023-03-07,High School,65-70,,39.24,7695.4,4918.92,57.52,8059.19,367.75,245.25,0.64,-30.86,6.4,8.69,-3.89,4.91,2166.42,2375.33,-2.04,35.81,4252.91,49.73,-2.91,-2.04,3417.8,2578.84,1840.0,2100.9,2312.9,30733.13,27.89,2.24,130.69,,,,,63.0,57.0,28.8,32.2,38.3,56.1,,,,2023-03-06,66.4,29.1,3.07,188.14
2023-03-07,Pro,70+,,47.46,7683.51,6103.28,68.49,10029.84,394.5,228.75,0.85,-31.54,13.26,11.51,11.04,1.68,2497.42,2524.42,109.63,43.16,5782.28,64.89,11.48,3.2,4204.1,3329.15,1148.3,1389.3,1779.8,38828.52,34.05,2.67,176.26,,,,,53.0,53.0,48.7,61.5,51.3,51.4,,,,2023-03-06,72.7,15.9,3.81,196.04
2023-03-09,College,<65,,50.48,6298.04,6284.37,66.61,8153.71,519.0,246.25,0.68,-35.85,-4.78,-12.02,-1.89,1.2,2584.32,2559.93,298.65,43.1,5483.2,58.12,8.3,1.2,3810.5,2881.12,1743.7,2349.8,2792.2,121934.5,29.55,2.59,157.92,,,,,54.0,59.0,42.2,46.9,34.3,39.4,,,,2023-03-06,64.9,22.1,3.11,207.57
2023-03-09,College,65-70,,45.41,5889.69,5195.0,61.89,6296.8,512.25,247.25,0.59,-31.99,-7.81,-12.95,-5.12,-0.48,2235.81,2203.07,318.45,38.02,4841.78,57.68,-4.25,-2.06,4128.3,3301.8,1225.0,1696.0,2388.8,36027.13,40.95,2.91,206.77,,,,,48.0,46.0,38.4,52.8,47.6,53.4,,,,2023-03-16,66.2,21.3,4.01,184.67
2023-03-09,College,65-70,,41.3,5595.12,5595.71,58.28,7312.19,469.33,290.33,0.63,-41.91,3.05,3.71,2.85,14.29,2457.12,2457.81,113.06,38.42,5295.21,55.15,-2.39,12.22,4171.6,3226.93,1659.9,2109.1,2458.7,49359.31,22.77,2.4,130.48,,,,,65.0,65.0,54.5,60.6,55.3,54.2,,,,2023-03-09,65.4,31.3,3.43,211.22
2023-03-09,High School,,<80,35.79,3841.76,2959.14,50.44,4799.86,451.75,304.75,0.52,-37.09,5.51,4.74,4.97,-5.49,1472.81,1482.59,57.71,30.67,2742.79,46.75,7.1,-3.71,,,,,,32092.89,26.74,2.55,145.12,,,,,,,,,,,2023-03-20,70.2,21.5,,,,,129.07
2023-03-09,High School,,<80,28.5,4836.2,2349.63,45.63,5157.21,371.75,246.0,0.53,-25.21,-3.87,3.46,-4.65,-0.61,1249.17,1244.26,27.99,24.62,2146.51,41.68,5.56,1.54,,,,,,32684.61,16.88,1.97,90.09,,,,,,,,,,,2023-03-13,61.9,37.6,,,,,113.3
2023-03-09,High School,,<80,25.62,3767.23,2864.81,42.52,3279.87,490.0,302.5,0.32,-28.69,6.36,13.5,7.19,12.61,1386.86,1234.89,162.51,20.48,2506.3,37.2,-4.89,12.79,,,,,,,,,,,,,,,,,,,,2023-03-01,55.1,27.9,,,,,148.24
2023-03-09,High School,,<80,26.79,3103.16,2612.44,45.71,2389.47,476.75,246.0,0.42,-28.31,17.0,37.84,29.57,17.15,1338.46,1020.96,144.91,22.99,2219.29,38.83,21.85,20.29,,,,,,22752.32,17.42,1.45,67.41,,,,,,,,,,,2023-03-20,58.5,10.3,,,,,125.73
2023-03-09,High School,,<80,22.0,2585.65,1659.77,36.5,2205.24,452.0,306.75,0.31,-28.63,-0.55,1.78,-4.49,4.47,879.32,847.37,106.7,20.58,1579.29,34.73,5.38,-0.95,,,,,,12480.89,19.91,1.72,82.43,,,,,,,,,,,2023-03-01,3.5,31.2,,,,,100.03
2023-03-09,High School,,<80,18.86,3386.08,1769.46,32.49,3681.8,470.0,322.25,0.28,-31.86,0.67,1.41,1.48,3.44,1091.49,1122.39,106.5,16.13,1627.04,29.88,0.79,0.49,,,,,,21394.28,16.0,1.6,71.16,,,,,,,,,,,2023-03-13,58.1,38.5,,,,,119.81
2023-03-09,High School,,<80,31.96,3262.87,2566.45,45.57,3001.89,449.25,316.75,0.44,-28.13,0.93,14.72,4.43,1.94,1184.43,1087.13,169.67,26.55,2236.38,39.71,4.65,3.02,,,,,,,,,,,,,,,,,,,,2023-03-20,60.7,28.1,,,,,123.9
2023-03-09,High School,,<80,27.26,3395.47,2560.09,42.39,3080.33,537.25,275.75,0.36,-30.27,16.83,22.79,14.69,13.27,1319.05,1295.15,271.66,25.83,2433.4,40.3,21.52,11.49,,,,,,33515.83,22.24,2.27,115.72,,,,,,,,,,,2023-03-06,65.8,41.9,,,,,132.86
2023-03-09,High School,,<80,33.97,2640.74,2830.89,48.11,2476.66,601.25,317.75,0.38,-35.47,12.05,24.38,13.93,1.23,1216.91,1157.01,220.44,28.87,2526.21,42.93,10.66,5.19,,,,,,26069.14,17.77,1.77,79.29,,,,,,,,,,,2023-03-13,53.8,26.5,,,,,129.45
2023-03-09,High School,,<80,41.44,6720.85,3399.53,61.68,8891.12,366.75,206.25,0.76,-24.25,-0.95,-11.64,0.92,11.35,1664.87,1666.2,36.33,33.26,2721.42,49.38,-8.58,3.93,,,,,,,,,,,,,,,,,,,,2023-03-20,73.0,37.7,,,,,121.26
2023-03-09,High School,,<80,28.0,2507.34,2587.38,44.42,1919.47,566.0,321.5,0.37,-33.95,2.65,19.46,3.88,8.08,1229.44,1006.73,156.08,25.13,2373.61,40.75,10.45,8.75,,,,,,16312.23,18.08,1.38,63.98,,,,,,,,,,,2023-03-20,51.1,12.8,,,,,128.15
2023-03-09,High School,,<80,27.72,3907.59,2744.55,42.77,4054.54,518.0,283.0,0.36,-30.03,17.85,31.41,10.3,-6.44,1462.51,1466.96,304.45,22.11,2495.63,38.89,15.55,2.95,,,,,,15718.62,21.8,1.54,80.28,,,,,,,,,,,2023-03-06,60.5,34.1,,,,,141.17
2023-03-13,High School,<65,<80,39.61,5451.52,5128.42,56.45,6754.03,498.0,290.25,0.52,-37.88,8.17,14.39,9.13,0.07,2177.94,2183.92,118.99,35.82,5003.24,55.07,13.83,5.06,3545.3,2648.87,2102.0,2552.5,2631.8,41161.49,28.6,2.65,153.5,,,,,,,,,,,2023-03-06,77.6,19.5,2023-03-08,63.8,23.9,2.97,199.87
2023-03-13,High School,<65,<80,39.09,3139.33,3475.17,53.75,3734.54,529.75,334.0,0.47,-42.88,1.5,5.16,2.36,4.37,1423.45,1418.14,76.39,33.71,3297.05,50.99,6.45,0.52,2742.2,2106.14,928.2,1239.9,1536.8,30431.48,18.94,1.89,91.49,,,,,,,,,,,2023-03-06,73.2,31.9,2023-03-08,57.6,22.9,3.32,142.25
2023-03-14,High School,,<80,44.09,4554.73,5122.88,57.79,5125.73,583.25,290.25,0.53,-38.23,-3.31,-4.43,-4.23,-7.43,2049.17,2023.82,282.03,35.72,4440.13,50.09,1.4,-1.48,4010.5,3136.14,1378.1,1684.8,2075.2,26060.46,29.19,2.01,118.29,,,,,55.0,53.0,46.8,39.2,41.1,38.9,2023-03-13,72.3,18.4,,,,3.61,195.03
2023-03-15,High School,<65,,36.99,4518.84,4688.57,53.72,4779.4,600.0,276.25,0.43,-34.88,-8.34,4.81,-8.08,-12.72,1978.16,1968.8,403.47,35.89,4629.54,53.04,3.73,-8.82,3509.05,2653.03,1220.83,1400.74,1707.69,27288.17,22.04,1.72,89.54,,,,,,,,,,,,,,2023-03-08,59.3,23.5,3.1,192.04
2023-03-15,College,,85-90,31.34,6059.67,4577.25,47.42,7714.59,466.5,292.0,0.5,-38.06,0.48,-8.06,5.29,-8.55,2412.27,2446.27,134.27,30.21,4670.14,48.38,-8.57,-4.73,4891.8,3946.64,2042.2,2835.6,3490.0,52121.66,37.49,2.95,195.49,,,,,40.0,62.0,52.0,40.0,55.5,48.2,2023-03-20,85.7,35.0,,,,4.17,212.37
2023-03-15,High School,<65,<80,33.35,3832.71,3004.28,47.46,4531.19,534.75,283.5,0.45,-40.86,10.82,20.85,7.45,-4.13,1713.93,1716.21,149.76,32.33,3248.23,51.32,17.1,2.22,2637.46,2014.84,919.15,1273.32,1633.02,30603.61,27.54,2.72,159.11,,,,,,,,,,,2023-03-13,72.2,39.3,2023-03-15,55.0,14.8,3.25,139.26
2023-03-16,High School,,<80,20.46,5797.1,3552.48,32.92,5279.88,525.25,301.0,0.28,-30.89,1.48,6.15,1.49,3.43,2224.51,2197.18,406.36,18.05,3276.65,30.36,0.68,4.38,,,,,,35384.35,19.96,1.63,80.24,,,,,,,,,,,2023-03-06,73.3,24.9,,,,,237.42
2023-03-16,High School,,<80,29.63,7079.64,4426.9,48.0,5814.08,472.5,249.0,0.46,-23.59,9.04,40.71,17.83,2.52,2138.02,1860.33,201.84,25.37,3834.72,41.58,14.04,10.33,,,,,,33032.84,23.22,1.77,92.53,,,,,,,,,,,2023-03-06,57.3,15.8,,,,,202.93
2023-03-16,College,65-70,,39.14,6064.16,5542.08,54.47,7465.96,564.25,290.75,0.54,-39.09,12.84,17.76,13.61,9.5,2604.15,2593.45,238.19,35.68,5522.47,54.27,11.82,9.47,5230.2,4234.33,1615.9,2292.7,3310.9,46688.93,32.64,2.6,163.77,,,,,50.0,70.0,51.2,51.1,51.4,44.0,,,,2023-03-16,68.2,26.9,4.24,223.87
2023-03-18,College,70+,,40.2,5139.78,4791.68,54.9,7619.62,486.5,285.5,0.67,-42.29,6.57,7.74,7.77,-0.66,2228.24,2234.11,60.6,37.74,4769.84,54.65,-2.06,4.83,,,,,,56361.76,33.15,2.95,189.01,,,,,61.0,56.0,36.5,46.1,45.6,51.8,,,,2023-03-16,70.4,27.2,,192.02
2023-03-21,High School,<65,,36.16,4835.11,3602.16,51.13,7036.54,475.5,268.5,0.62,-39.47,2.85,6.52,8.73,6.47,1907.92,1935.08,29.54,30.01,3496.35,49.63,-0.46,-0.01,2790.0,2099.51,910.5,1130.4,1436.6,39108.37,28.24,2.58,155.65,,,,,69.0,66.0,26.8,38.2,36.4,21.4,,,,2023-03-20,56.1,26.0,3.04,154.99
2023-03-23,Pro,,<80,48.29,4546.12,5156.36,61.95,5514.17,519.5,284.75,0.66,-40.36,0.22,-7.81,3.82,8.62,2079.23,2077.37,243.34,44.32,5309.83,63.8,-1.24,6.41,,,,,,33744.56,36.54,2.9,191.94,,,,,58.0,54.0,37.5,46.9,29.7,31.2,2023-03-23,68.3,35.9,,,,,183.11
2023-03-23,High School,,<80,47.99,5685.38,5300.44,61.77,7735.4,459.25,274.75,0.7,-40.85,-2.55,3.57,1.63,4.02,2436.78,2446.47,123.19,39.32,5145.2,59.96,22.67,4.63,4209.7,3369.37,1714.8,2307.3,2781.9,47057.97,36.01,2.94,191.53,,,,,55.0,55.0,50.6,50.0,46.4,45.1,2023-03-09,80.0,44.7,,,,4.0,188.78
2023-03-23,College,,85-90,40.71,5657.2,5340.73,61.16,7051.33,453.0,274.25,0.57,-35.37,10.01,-1.46,-3.02,4.38,2220.66,2101.31,103.18,35.13,4777.72,54.72,7.08,4.22,3829.9,2976.23,1701.1,2125.0,2466.4,27731.41,28.24,2.25,130.25,,,,,77.0,64.0,55.4,61.5,52.7,48.8,2023-03-30,85.7,32.8,,,,3.48,192.1
2023-03-23,Pro,70+,,55.17,6581.98,6361.75,71.86,11274.08,443.25,245.5,0.79,-38.54,2.46,4.6,3.1,5.24,2571.15,2593.4,57.29,52.24,6133.84,69.29,11.79,1.87,,,,,,83568.51,39.13,3.17,217.54,,,,,60.0,54.0,53.2,50.3,49.1,49.5,,,,2023-03-23,71.3,12.0,,194.77
2023-03-28,High School,,85-90,41.13,5428.56,5099.08,63.61,5954.52,467.5,255.5,0.65,-32.53,2.35,-17.15,5.21,16.05,2003.07,1931.97,166.43,36.26,4602.21,57.41,-0.35,8.09,3834.1,3047.21,1575.2,2003.4,2444.0,41779.46,28.01,2.62,157.56,,,,,50.0,40.0,45.9,39.4,38.6,50.3,2023-03-30,85.5,25.1,,,,3.88,176.37
2023-03-28,College,,80-85,41.98,6170.94,5692.84,58.27,10189.54,453.0,296.25,0.62,-43.02,2.06,-2.73,8.81,13.49,2603.85,2707.73,54.81,39.92,5389.84,55.17,9.84,8.96,4214.6,3259.43,1797.8,2191.9,2711.9,51520.1,27.89,2.36,139.89,,,,,58.0,59.0,45.8,59.0,36.0,45.0,2023-03-30,83.7,34.7,,,,3.4,214.94
2023-03-28,Pro,,85-90,49.63,4748.41,5800.51,63.91,8068.39,494.25,336.25,0.67,-52.43,8.4,10.34,10.74,12.22,2506.54,2559.54,71.38,42.17,5508.39,60.69,10.17,12.35,4079.8,3190.43,1569.3,2008.0,2561.5,521177.22,38.03,2.45,164.39,,,,,65.0,61.0,50.1,44.9,43.3,44.7,2023-03-30,87.0,41.3,,,,3.58,199.67
2023-03-29,College,<65,,34.36,8710.89,4926.32,52.12,9582.32,396.25,232.25,0.56,-28.2,2.8,-1.12,1.19,6.48,2575.29,2580.78,135.84,30.72,4551.7,48.16,4.73,4.12,3611.1,2683.49,1348.6,1572.3,1810.9,48730.76,26.51,2.53,136.98,,,,,54.0,56.0,45.6,51.7,51.5,42.2,,,,2023-03-30,63.3,25.7,2.9,207.94
2023-03-30,Pro,70+,,45.16,5443.81,5831.19,58.29,7881.65,492.0,288.0,0.67,-46.3,-10.11,1.37,-13.93,-9.1,2553.5,2583.3,62.9,43.15,5476.52,54.75,-0.4,-9.31,5137.9,4161.16,1693.5,1991.0,2598.3,,,,,,,,,65.0,57.0,60.3,55.8,42.3,48.8,,,,2023-03-30,75.1,34.2,4.24,220.09
2023-04-01,Pro,70+,,53.84,6119.42,5872.83,67.03,9863.56,489.25,263.25,0.78,-43.5,4.08,3.4,5.42,6.9,2787.3,2804.55,145.77,50.68,6125.23,69.91,6.84,6.04,4959.8,4100.54,2670.6,3393.9,3713.7,,,,,,,,,71.0,69.0,65.3,73.8,83.4,50.5,,,,2023-03-30,73.4,8.8,4.77,192.76
2023-04-03,Pro,70+,,43.19,6815.98,5478.27,55.87,9286.88,435.25,276.25,0.68,-37.83,-6.59,-12.5,-1.91,-1.98,2592.43,2666.93,96.98,39.94,5529.07,56.39,-18.13,-2.07,4686.5,3724.96,2657.5,3343.5,3468.0,48380.79,31.63,2.92,191.59,,,,,65.0,50.0,42.5,41.6,39.7,49.2,,,,2023-03-23,71.7,26.4,3.87,215.71
2023-04-04,High School,<65,,39.2,4826.43,4409.03,57.45,5690.35,440.75,287.5,0.61,-37.35,-3.03,-4.35,-0.89,3.49,1869.08,1870.01,86.37,34.82,4099.98,53.43,2.18,5.28,3543.4,2793.0,1251.1,1495.9,1709.7,37794.99,27.08,2.48,144.51,,,,,63.0,60.0,40.0,37.8,39.3,35.0,,,,2023-04-03,59.6,25.2,3.71,168.83
2023-04-04,High School,<65,,35.13,4044.44,3473.24,47.66,4580.35,527.75,305.5,0.44,-39.8,15.21,13.9,13.13,12.27,1772.31,1769.42,161.2,30.27,3515.54,48.24,2.02,14.97,3286.4,2570.02,1077.8,1282.9,1517.8,27830.48,23.41,1.96,104.89,,,,,46.0,48.0,38.2,41.0,33.0,47.1,,,,2023-04-03,55.0,16.8,3.6,160.34
2023-04-04,College,70+,,45.14,7719.69,6212.46,68.9,8934.6,453.25,214.5,0.72,-28.62,-1.58,6.94,-0.88,-6.65,2466.74,2435.6,232.12,42.39,5719.66,63.43,1.29,-5.96,4038.2,3162.37,1076.6,1283.6,1788.7,26795.2,29.67,2.27,138.34,,,,,40.0,40.0,49.4,45.8,49.3,43.5,,,,2023-04-03,70.1,18.9,3.58,198.37
2023-04-05,High School,<65,,28.55,10160.91,3942.59,45.83,4941.54,462.0,279.0,0.43,-19.8,-0.85,22.22,1.65,0.69,2052.73,1870.94,470.54,22.51,3149.39,36.79,8.87,-2.91,3051.9,2212.25,2100.7,2182.4,2141.5,,,,,,,,,63.0,66.0,38.7,49.6,37.4,43.3,,,,2023-04-06,56.4,22.5,2.62,189.27
2023-04-08,High School,<65,,30.76,5477.34,4642.02,51.14,5566.82,503.75,269.25,0.42,-29.03,-7.34,-9.81,-13.58,-4.59,2064.03,1898.43,310.4,26.38,4174.95,45.99,0.48,-9.32,2534.7,1645.24,1260.6,1475.7,1750.8,38910.04,21.83,1.81,94.0,,,,,56.0,37.0,31.1,32.2,28.1,30.1,,,,2023-04-10,58.1,27.7,1.85,199.72
2023-04-11,High School,<65,,43.38,4480.01,4067.26,57.78,5258.46,460.5,283.75,0.61,-39.38,1.94,5.88,1.49,1.83,1891.86,1896.12,139.49,42.31,4013.19,57.0,6.16,3.9,3277.7,2585.94,1203.5,1760.0,2550.1,42024.49,20.51,2.31,115.05,,,,,69.0,65.0,45.9,41.3,42.8,35.8,,,,2023-04-11,61.2,29.6,3.75,154.88
2023-04-11,Pro,70+,,43.96,7144.15,5924.72,56.56,9646.59,458.5,276.25,0.62,-38.54,4.81,12.07,3.18,-2.05,2808.44,2822.7,75.22,37.71,5823.16,55.59,23.03,1.94,3821.6,2799.85,2033.7,2668.9,3009.7,29410.23,23.52,2.43,127.84,,,,,58.0,58.0,68.5,56.8,60.6,67.5,,,,2023-04-11,77.8,17.1,2.73,230.47
2023-04-12,College,,<80,33.95,9111.82,4580.29,52.59,11051.81,372.25,220.5,0.62,-26.14,7.58,4.25,10.48,14.09,2383.92,2385.36,37.51,29.73,4008.17,46.02,4.02,11.49,3761.2,2909.0,1346.8,1731.7,2190.2,17851.71,31.14,2.15,134.96,,,,,55.0,64.0,41.7,39.5,38.8,38.3,2023-04-20,71.4,39.9,,,,3.41,191.62
2023-04-13,College,,80-85,43.54,4522.26,4419.04,54.64,6933.75,489.25,323.5,0.61,-46.53,-8.25,-6.15,-6.77,-1.96,2113.66,2135.71,32.47,40.23,4196.03,51.88,-3.3,-2.28,3566.8,2772.46,1490.7,1915.8,2365.2,32857.84,26.39,1.88,106.24,,,,,75.0,65.0,55.0,50.4,67.2,46.4,2023-04-20,81.8,45.1,,,,3.5,177.94
2023-04-14,Pro,70+,,33.9,5586.64,5627.84,51.83,4938.59,562.25,284.5,0.43,-31.84,0.58,14.82,0.57,-9.28,2421.02,2264.75,499.58,31.73,5256.77,48.42,4.12,-3.54,3651.2,2585.41,1416.5,1655.0,2163.8,41998.57,28.72,2.29,129.63,,,,,75.0,60.0,50.7,51.5,73.8,63.6,,,,2023-04-20,77.2,19.8,2.43,238.88
2023-04-18,College,<65,,33.34,4963.15,3484.37,45.5,6040.18,459.33,300.0,0.48,-41.07,5.85,5.8,4.01,-3.98,2077.84,2083.09,48.26,30.9,3568.41,46.6,-15.81,-3.5,,,,,,52269.53,23.1,2.7,137.34,,,,,50.0,54.0,42.0,45.3,46.0,53.9,,,,2023-04-18,59.1,18.3,,168.48
2023-04-19,High School,<65,<80,42.65,3093.77,3765.96,57.25,3553.64,537.25,325.0,0.53,-41.44,1.87,0.13,-6.34,3.45,1445.86,1409.74,130.98,36.0,3617.27,54.99,-1.55,1.59,,,,,,,,,,,,,,,,,,,,2023-05-03,68.4,32.6,2023-05-03,57.7,18.9,,144.72
2023-04-19,High School,<65,<80,35.78,4480.03,4640.59,52.34,4366.03,556.75,267.25,0.46,-33.63,-7.67,0.87,-6.26,-1.13,2014.75,1920.76,416.1,35.44,4595.52,51.83,-1.8,-5.44,3408.3,2535.31,1390.5,1751.1,2101.3,,,,,,,,,,,,,,,2023-05-03,74.0,37.5,2023-05-03,61.8,14.4,2.92,195.05
2023-04-19,High School,65-70,80-85,40.91,5960.34,5339.31,57.64,6608.19,494.5,269.0,0.58,-34.88,6.45,14.85,4.99,5.61,2245.75,2247.82,173.56,37.53,5305.52,57.27,9.6,5.92,3175.8,2263.49,2092.6,2647.2,2802.8,,,,,,,,,,,,,,,2023-05-03,80.6,25.3,2023-05-03,68.2,19.5,2.49,203.81
2023-04-20,Pro,70+,,47.49,6109.03,6379.85,65.7,7604.66,448.33,262.67,0.72,-36.28,2.37,8.72,2.73,4.06,2410.1,2360.53,145.5,42.3,5932.01,61.09,10.82,4.0,,,,,,,,,,,,,,,,,,,,,,,2023-04-20,72.0,15.4,,213.64
2023-04-20,Pro,70+,,36.36,5404.35,5564.17,54.74,4675.63,507.33,241.33,0.59,-29.34,-3.48,-8.16,-4.62,-0.78,2632.6,2037.0,452.43,35.37,5521.64,54.32,-4.87,-1.55,,,,,,,,,,,,,,61.0,56.0,,,,,,,,2023-04-20,74.1,23.8,,223.63
2023-04-20,College,65-70,,47.78,6459.13,6063.97,63.95,8678.16,518.0,242.75,0.67,-37.43,3.67,-3.46,4.26,0.71,2638.63,2648.25,227.17,39.75,5033.88,53.09,12.28,-3.42,4547.5,3617.63,1449.5,1908.7,2365.5,,,,,,,,,54.0,64.0,44.5,46.2,32.3,47.2,,,,2023-04-24,67.3,26.0,3.89,208.6
2023-04-20,College,<65,,23.26,8076.96,2462.44,35.48,1473.65,673.75,352.5,0.28,-15.36,4.86,28.89,15.45,5.32,1336.79,986.47,596.79,21.37,2304.22,33.2,4.25,3.08,,,,,,41334.36,11.59,1.41,52.3,,,,,39.0,40.0,30.4,35.0,31.0,33.9,,,,2023-04-18,43.2,5.3,,152.7
2023-04-20,College,65-70,,45.96,5557.91,5246.25,61.79,6381.65,520.25,257.25,0.59,-34.5,-8.15,-8.17,-4.96,-2.99,2250.25,2238.63,320.75,39.52,4756.42,56.02,3.28,-3.74,4453.9,3621.32,1088.3,1373.9,1740.9,,,,,,,,,52.0,47.0,42.5,51.5,42.5,47.9,,,,2023-05-01,65.5,19.5,4.35,186.78
2023-04-20,Pro,,<80,24.19,3954.61,3603.48,36.59,3095.48,601.0,336.25,0.27,-34.71,-5.06,-6.3,-6.16,-6.66,1855.85,1838.98,468.3,22.83,3496.46,35.5,-15.61,-16.04,,,,,,,,,,,,,,42.0,43.0,,,,,2023-04-20,62.3,11.7,,,,,216.66
2023-04-21,College,65-70,,47.04,5202.94,4589.23,59.74,7138.94,514.0,266.75,0.64,-39.91,5.01,14.11,4.01,6.46,2157.05,2166.2,101.0,36.28,4299.24,55.96,-12.81,3.3,3159.7,2406.35,1124.0,1385.5,1701.5,28182.2,28.95,2.41,140.21,,,,,55.0,53.0,46.1,46.2,36.2,45.4,,,,2023-04-24,65.4,24.4,3.19,169.0
