dataset,column,dtype,example,description,documented
hitting_poi,pelvis_angular_velocity_maxhss_x,float64,733.0911,pelvis angular velocity at maximum hip-shoulder separation (deg/sec),True
hitting_poi,pelvis_angular_velocity_seq_max_x,float64,733.6451,maximum pelvis angular velocity between first move and contact (deg/sec),True
hitting_poi,pelvis_angular_velocity_stride_max_x,float64,580.7448,maximum pelvis angular velocity between load and foot plant (deg/sec),True
hitting_poi,pelvis_angular_velocity_swing_max_x,float64,733.6451,maximum pelvis angular velocity between load and contact (deg/sec),True
hitting_poi,pelvis_fm_x,float64,-26.7272,pelvis angle (x) at first move (deg),True
hitting_poi,pelvis_fm_y,float64,3.989,pelvis angle (y) at first move (deg),True
hitting_poi,pelvis_fm_z,float64,-110.0787,pelvis angle (z) at first move (deg),True
hitting_poi,pelvis_launchpos_x,float64,-28.8512,pelvis angle (x) at foot plant (deg),True
hitting_poi,pelvis_launchpos_y,float64,4.1585,pelvis angle (y) at foot plant (deg),True
hitting_poi,pelvis_launchpos_z,float64,-76.566,pelvis angle (z) at foot plant (deg),True
hitting_poi,pelvis_loadedpos_x,float64,-100.4105,pelvis angle (z) at loaded position (deg),True
hitting_poi,pelvis_load_max_x,float64,-98.1193,maximum pelvis angle (z) between the start of the take and the loaded position (deg),True
hitting_poi,pelvis_stride_max_x,float64,-28.8512,maximum pelvis angle (x) between the load and foot plant (deg),True
hitting_poi,pelvis_stride_max_y,float64,10.6588,maximum pelvis angle (y) between the load and foot plant (deg),True
hitting_poi,pelvis_stride_max_z,float64,-111.1967,maximum pelvis angle (z) between the load and foot plant (deg),True
hitting_poi,pelvis_swing_max_x,float64,-1.8499,maximum pelvis angle (x) between the load and contact (deg),True
hitting_poi,pelvis_swing_max_y,float64,10.6588,maximum pelvis angle (y) between the load and contact (deg),True
hitting_poi,pelvis_swing_max_z,float64,11.3636,maximum pelvis angle (z) between the load and contact (deg),True
hitting_poi,rear_elbow_fm_x,float64,132.2291,rear elbow angle (x) at first move (deg),True
hitting_poi,rear_elbow_fm_z,float64,67.3961,rear elbow angle (z) at first move - wrist pronation/supination (deg),True
hitting_poi,rear_elbow_launchpos_x,float64,121.7515,rear elbow angle (x) at foot plant (deg),True
