session_swing,pitch,strike_zone,la,dist,res,bearing,vertical_distance,horizontal_distance,poi_x,poi_y,poi_z,pitch_angle
222_2,60.8,7.0,16,266, 2B-8,-18,-3.9,-4.5,3.67,29.76,33.1,-6.9
222_3,60.2,8.0,11,218, 2B-8,-16,-6.9,-1.3,0.83,26.03,25.91,-7.5
222_4,62.5,8.0,9,161, 1B-8,3,-4.4,1.1,-1.35,28.12,22.7,-6.9
222_5,60.8,4.0,18,289, F8,1,-0.4,-3.6,3.2,33.03,31.36,-6.5
222_6,61.2,8.0,-15,9, 1B-8,-8,-5.6,2.5,-2.6,26.47,19.15,-7.3
222_7,60.2,4.0,29,320, 2B-8,-19,-0.8,-5.3,3.82,33.84,42.16,-6.7
222_8,60.3,7.0,31,248, F8,-7,-7.2,-6.9,6.2,26.71,32.99,-7.7
24_1,59.2,8.0,5,130, 1B-7,-33,-6.1,0.6,-0.15,29.77,40.96,-6.4
24_2,59.8,9.0,21,335, 2B-7,-39,-9.4,7.2,-6.73,26.58,41.94,-6.1
24_3,0.0,,26,357, 2B-7,-41,-33.3,0.0,0.0,0.0,0.0,0.0
24_4,60.7,7.0,18,296, 3B-7,-21,-7.7,-4.2,3.42,27.6,35.17,-6.4
24_5,59.6,5.0,12,236, F7,-30,-3.1,-1.7,2.5,32.5,37.5,-6.6
25_1,58.6,2.0,21,251, 1B-8,-10,3.3,0.4,-0.01,35.33,25.21,-6.3
25_2,0.0,,-4,27, 1B-8,-6,-31.1,0.0,0.0,0.0,0.0,0.0
25_3,59.9,2.0,23,254, F8,7,3.7,0.0,0.09,35.21,20.79,-5.1
25_4,0.0,,-9,15, 6-3,-20,-31.1,0.0,0.0,0.0,0.0,0.0
25_5,58.6,4.0,13,175, F4,12,1.6,-6.8,6.72,33.08,20.32,-5.6
254_1,60.2,5.0,8,178, F6,-15,2.7,-1.3,0.93,35.7,28.44,-6.3
254_2,58.4,4.0,33,370, 2B-8,-18,1.1,-5.8,5.27,34.4,30.52,-6.6
254_3,60.5,7.0,32,358, 3B-8,-8,-3.9,-3.5,2.89,29.74,32.58,-6.9
254_4,59.1,4.0,43,297, F8,-7,0.7,-3.3,2.68,34.0,30.4,-6.4
254_5,60.9,1.0,23,299, F8,10,3.2,-9.5,9.23,35.32,19.68,-6.3
254_6,60.2,5.0,20,328, 2B-8,-20,1.6,-2.6,1.76,35.31,34.74,-6.3
254_7,59.1,8.0,10,171, 1B-7,-36,-2.8,0.0,-1.01,32.4,43.88,-7.4
254_8,59.7,5.0,7,141, 1B-7,-25,-0.4,2.2,-2.49,32.65,28.24,-6.5
255_1,60.4,12.0,18,285, F8,-4,-10.6,-7.5,7.12,23.1,27.52,-8.2
255_2,60.6,1.0,14,239, 2B-8,-10,4.3,-4.4,4.03,37.63,27.14,-6.1
255_3,60.1,4.0,9,175, 1B-8,-7,-2.2,-7.0,6.37,31.61,31.85,-6.4
255_4,61.5,7.0,38,316, F8,1,-4.7,-8.6,7.75,29.04,32.4,-5.6
255_5,60.2,5.0,3,76, 5-3,-42,-2.3,1.7,-2.03,31.46,31.2,-6.4
255_6,60.4,7.0,22,318, F8,-4,-3.1,-7.7,7.47,30.43,28.28,-6.6
255_7,60.4,8.0,19,302, F7,-29,-3.9,-0.3,0.17,29.65,29.03,-6.4
255_8,60.3,7.0,18,282, F7,-23,-3.4,-6.1,5.59,30.25,30.29,-6.5
258_1,60.7,4.0,-3,27, 1B-8,2,-2.5,-4.8,4.83,27.57,16.29,-6.7
258_2,60.4,10.0,5,110, 4-3,14,2.4,-11.6,11.64,32.5,16.71,-6.3
258_3,61.5,4.0,24,271, F9,34,-0.6,-9.6,9.65,29.38,15.4,-6.3
258_4,61.9,4.0,-3,30, 1B-8,4,-2.5,-7.7,7.69,27.67,17.65,-6.7
258_5,60.5,7.0,-24,6, 5-3,-41,-4.0,-5.2,4.76,27.33,27.46,-6.7
258_6,59.8,4.0,0,58, 1B-8,-10,0.4,-4.8,4.61,31.21,22.59,-6.6
258_7,61.4,7.0,-17,8, 1B-8,-3,-3.5,-8.8,0.0,0.0,0.0,-6.9
258_8,61.9,12.0,16,264, F8,2,-2.9,-19.4,0.0,0.0,0.0,-8.3
263_1,60.2,9.0,2,64, 4-3,19,-4.2,4.3,-4.52,26.86,24.61,-7.4
263_2,62.0,9.0,32,345, 2B-8,14,-4.2,4.0,-4.2,27.45,29.67,-6.7
263_3,62.0,9.0,-2,31, 4-3,20,-6.3,4.7,-4.75,24.24,21.07,-6.4
263_4,62.0,7.0,7,145, F4,21,-5.3,-6.5,6.09,25.9,25.55,-7.0
263_5,61.0,5.0,21,308, F8,-3,2.1,2.0,-2.09,32.49,19.39,-6.2
263_6,60.2,5.0,15,288, F9,26,0.1,-1.6,0.71,31.87,30.8,-6.8
263_7,60.4,6.0,34,350, F8,10,1.3,2.9,-3.21,32.72,28.97,-6.4
263_8,62.4,7.0,-12,11, U3,35,-7.6,-4.0,0.83,24.35,29.44,-8.7
268_1,61.2,5.0,15,218, 1B-7,-26,-2.5,0.0,-0.17,28.94,27.28,-7.0
268_2,61.3,8.0,16,230, 1B-8,-10,-6.1,-1.9,1.23,26.02,33.0,-7.1
268_3,59.9,7.0,16,241, 1B-8,-7,-4.0,-4.9,3.9,28.76,37.8,-7.1
268_4,60.1,4.0,23,299, 2B-8,-12,-2.5,-3.7,2.83,30.09,37.86,-6.8
268_5,61.7,4.0,15,235, 1B-8,-8,-1.2,-5.2,4.47,30.21,27.36,-6.7
268_6,60.3,4.0,18,274, 2B-8,-12,0.3,-5.8,5.1,31.96,30.59,-6.5
268_7,59.6,1.0,24,295, F8,9,3.5,-9.1,8.64,34.41,24.07,-6.2
268_8,59.3,4.0,17,253, 2B-8,-17,2.1,-5.4,4.85,34.12,32.91,-6.6
271_1,61.7,1.0,8,161, 1B-7,-25,4.0,-4.5,3.75,34.63,29.64,-5.9
271_2,62.4,4.0,31,366, 2B-8,-10,0.5,-7.8,7.44,30.62,24.99,-6.3
271_3,62.2,1.0,31,354, 2B-7,-22,3.3,-8.5,7.33,34.65,36.21,-6.1
271_4,61.9,4.0,26,363, 2B-7,-40,2.7,-3.6,2.25,34.46,39.83,-6.3
271_5,62.1,1.0,32,362, 2B-7,-27,4.2,-6.2,5.2,35.38,34.54,-6.1
271_6,62.0,2.0,15,273, F7,-36,3.2,-0.6,0.41,33.62,27.43,-6.2
271_7,62.1,2.0,25,380, 2B-7,-32,3.3,0.7,-1.1,33.87,29.03,-6.1
271_8,61.7,4.0,14,252, 2B-8,-12,2.7,-8.9,8.57,32.78,23.97,-6.3
273_1,58.7,7.0,-14,10, 6-3,-6,-3.1,-4.0,3.9,28.67,20.01,-7.4
273_2,58.0,12.0,-17,10, U3,36,-5.0,-23.0,15.14,29.24,35.08,-9.2
273_3,57.4,7.0,13,200, 1B-9,26,-2.8,-3.5,2.63,31.98,43.0,-7.7
273_4,57.7,8.0,-10,13, U3,33,-9.6,2.0,-1.97,24.71,38.27,-8.1
273_5,57.3,12.0,29,297, F8,3,-3.6,-16.2,11.61,29.99,34.08,-7.4
273_6,58.1,8.0,2,62, 1B-8,-2,-8.5,2.1,-2.21,24.51,28.7,-7.9
276_1,58.4,5.0,20,261, F8,-4,-2.2,-0.4,0.46,28.3,20.03,-7.4
276_2,59.0,7.0,37,261, F9,17,-4.1,-3.4,3.5,25.59,13.96,-7.4
276_3,57.7,7.0,33,284, 1B-8,16,-4.0,-3.2,3.03,25.78,14.74,-7.4
276_4,57.6,8.0,22,308, F8,-4,-4.6,-0.4,0.36,25.44,16.59,-7.7
276_5,58.7,9.0,15,231, 1B-7,-24,-2.8,3.3,-3.1,27.93,21.55,-7.2
276_6,59.1,4.0,12,198, 1B-8,-2,-2.5,-5.0,0.0,0.0,0.0,-7.4
276_7,0.0,,3,67, 1B-7,-29,-30.1,0.0,0.0,0.0,0.0,0.0
279_1,0.0,,12,185, 1B-7,-18,-32.2,0.0,0.0,0.0,0.0,0.0
279_2,0.0,,39,199, 1B-8,-9,-32.2,0.0,0.0,0.0,0.0,0.0
279_3,0.0,,54,225, F8,-4,-32.2,0.0,0.0,0.0,0.0,0.0
279_4,60.5,4.0,28,313, F8,1,0.2,-6.7,6.17,34.03,31.35,-6.5
279_5,0.0,,27,275, 1B-8,-13,-32.2,0.0,0.0,0.0,0.0,0.0
279_6,0.0,,70,98, F3,47,-32.2,0.0,0.0,0.0,0.0,0.0
279_7,59.9,4.0,6,136, 2B-8,-12,-0.9,-7.6,6.49,33.56,35.76,-7.1
279_8,59.2,2.0,38,280, F7,-28,7.3,-2.2,-0.25,42.27,44.87,-5.7
282_1,60.9,12.0,4,109, 1B-7,-23,-1.9,-11.6,10.44,30.21,25.94,-7.2
282_2,61.2,12.0,7,168, 1B-8,4,-0.8,-12.4,13.85,25.15,-25.11,-6.5
282_3,60.3,4.0,21,375, 1B-8,-20,1.3,-8.4,7.36,34.32,36.02,-6.3
282_4,62.2,7.0,16,325, 1B-8,-20,-5.3,-4.6,3.38,28.0,35.98,-7.0
282_5,61.4,7.0,19,373, 2B-8,-11,-3.0,-7.7,6.59,30.28,36.7,-6.9
282_6,61.2,4.0,34,418, HR,-15,-1.7,-4.0,2.97,31.61,38.59,-6.4
282_7,61.8,12.0,20,373, 2B-8,-10,-2.5,-10.4,9.08,30.88,39.05,-6.3
282_8,60.8,2.0,15,304, F7,-29,3.0,-1.5,1.41,36.38,39.06,-6.4
287_1,62.9,7.0,40,246, F8,13,-3.9,-5.9,5.54,27.77,24.17,-6.7
287_2,63.0,7.0,13,250, 2B-8,-11,-7.8,-3.7,3.79,24.81,31.67,-6.9
287_3,62.0,7.0,29,347, F8,5,-3.5,-9.0,8.41,28.78,28.59,-6.9
287_4,62.8,7.0,25,310, 2B-9,22,-8.0,-7.4,7.4,23.68,23.72,-7.4
287_5,63.3,8.0,21,289, F8,-4,-5.2,-2.3,2.17,26.78,26.45,-6.7
287_6,62.4,7.0,32,260, F9,24,-5.0,-6.1,5.81,26.75,24.31,-6.9
287_7,62.2,8.0,22,235, 1B-8,13,-3.9,-2.3,2.3,27.2,19.17,-6.8
287_8,63.2,7.0,2,65, 1B-8,-2,-9.2,-6.3,5.84,22.89,26.94,-7.0
300_1,64.6,4.0,33,341, 2B-8,5,1.2,-4.1,4.42,33.06,13.35,-5.8
300_2,64.8,7.0,19,291, 2B-8,8,-3.6,-3.5,3.41,29.34,23.27,-6.0
300_3,63.6,1.0,11,217, 1B-8,-5,2.9,-3.0,2.68,35.92,24.22,-5.7
300_4,65.0,2.0,26,344, 2B-8,12,3.4,-1.6,1.38,36.19,22.18,-5.6
300_5,65.9,4.0,-2,43, 1B-8,1,-0.7,-5.7,5.24,32.59,27.28,-5.9
300_6,64.7,12.0,29,357, 2B-8,14,-0.8,-10.8,10.32,32.39,25.3,-6.0
300_7,63.9,1.0,39,341, F8,2,4.6,-3.8,3.42,37.95,28.07,-5.5
300_8,65.5,13.0,30,348, 2B-8,1,-1.9,12.4,0.0,0.0,0.0,-4.6
303_1,61.2,1.0,12,240, F7,-28,7.3,-3.2,3.64,41.19,29.31,-5.9
303_2,61.4,2.0,27,410, HR,-29,9.0,-1.0,0.05,42.78,29.43,-5.2
303_3,62.0,5.0,5,125, 1B-7,-26,0.0,1.0,1.62,34.77,37.28,-6.0
303_4,61.2,3.0,15,302, F7,-32,3.4,2.9,-2.55,37.17,29.24,-5.6
303_5,60.9,9.0,21,359, 2B-7,-26,-7.6,7.6,-4.98,28.28,33.62,-12.0
303_6,62.1,9.0,3,103, 2B-7,-22,-7.5,4.3,-4.04,26.24,24.97,-7.9
303_7,61.1,7.0,10,204, 2B-7,-22,-8.7,-4.4,4.43,26.23,33.46,-8.1
303_8,62.5,5.0,28,399, 2B-8,-16,-1.4,-2.7,2.28,32.62,28.13,-7.1
308_1,0.0,,-12,14, 4-3,12,-30.1,0.0,0.0,0.0,0.0,0.0
308_2,60.5,13.0,-8,10, 4-3,19,-12.0,4.1,-4.22,18.64,20.44,-8.1
308_3,59.3,6.0,19,285, 2B-8,-14,-0.8,6.1,-6.56,28.96,14.2,-6.8
308_4,60.8,9.0,0,36, 1B-8,2,-9.5,5.0,-4.93,20.45,16.02,-8.3
308_5,59.3,9.0,10,174, 1B-8,12,-6.0,3.8,-3.76,24.67,20.84,-7.4
308_6,0.0,,24,254, F7,-28,-30.1,0.0,0.0,0.0,0.0,0.0
308_7,0.0,,30,318, 2B-8,-14,-30.1,0.0,0.0,0.0,0.0,0.0
308_8,60.9,8.0,37,258, F7,-34,-5.5,0.5,-0.46,24.96,20.29,-6.1
310_1,57.4,4.0,33,378, 2B-9,28,2.0,-7.9,7.7,32.35,22.52,-6.9
310_2,57.1,8.0,-4,23, 1B-9,25,-5.0,1.4,-1.38,25.3,20.78,-8.6
310_3,56.3,5.0,18,317, F8,0,1.8,1.3,-1.31,30.97,13.09,-7.3
310_4,55.7,5.0,25,365, 2B-9,21,2.1,-0.8,0.6,33.0,25.66,-7.6
310_5,56.9,2.0,24,357, 2B-9,26,3.5,-1.7,1.8,33.87,22.26,-7.2
310_7,56.5,1.0,26,386, 2B-9,23,6.2,-6.3,6.1,36.44,21.43,-6.7
313_1,58.9,5.0,23,324, 3B-8,14,1.0,-1.7,1.09,32.46,27.82,-7.2
313_2,0.0,,40,335, F8,15,-30.1,0.0,0.0,0.0,0.0,0.0
313_3,0.0,,51,258, F8,7,-30.1,0.0,0.0,0.0,0.0,0.0
313_4,58.9,1.0,20,288, 1B-8,9,4.5,-3.4,2.46,35.63,25.75,-6.6
313_5,59.3,1.0,30,340, 3B-9,20,7.6,-6.9,5.52,38.71,26.73,-6.0
313_6,58.9,1.0,35,350, 3B-8,16,4.4,-3.1,2.2,36.01,31.18,-5.9
313_7,0.0,,11,167, 1B-9,25,-30.1,0.0,0.0,0.0,0.0,0.0
313_8,58.8,4.0,24,308, 3B-8,17,2.3,-5.8,3.27,34.05,29.73,-7.2
317_1,61.8,1.0,13,231, 1B-8,-3,3.8,-7.6,7.18,35.43,27.44,-5.8
317_2,62.2,4.0,10,188, 1B-8,2,2.7,-5.8,5.48,33.79,21.94,-6.4
317_3,63.2,10.0,9,162, 1B-8,9,2.7,-11.5,11.08,33.47,19.3,-6.4
317_4,62.1,5.0,-16,10, 6-3,-24,-2.5,-0.7,0.75,29.12,26.06,-6.8
317_5,62.5,5.0,5,121, 1B-8,-7,-0.1,0.5,0.01,31.82,29.56,-6.4
317_6,61.9,2.0,14,247, 1B-8,-7,5.8,-2.1,1.94,37.2,25.49,-5.5
317_7,61.6,10.0,3,87, 1B-8,7,6.7,-11.0,11.15,36.88,13.83,-5.8
317_8,62.0,2.0,30,326, F8,-9,7.2,-1.6,1.36,38.54,25.27,-5.5
320_1,61.0,1.0,-4,30, 6-3,-9,3.6,-5.6,5.4,35.2,22.76,-6.1
320_2,61.1,5.0,15,234, 1B-8,-9,0.1,-1.6,1.34,31.64,22.04,-6.3
320_3,61.1,4.0,10,201, 2B-8,-12,1.8,-7.8,7.18,34.15,30.48,-6.1
320_4,61.5,1.0,6,130, 1B-8,-7,3.4,-7.7,0.0,0.0,0.0,-6.5
320_5,60.5,4.0,24,310, 2B-8,-11,-2.3,-3.0,2.62,29.72,26.1,-6.6
320_6,60.9,2.0,2,69, 6-3,-15,3.2,1.4,-1.55,34.38,19.49,-6.2
320_7,61.1,5.0,23,306, 2B-8,-13,-0.5,-1.0,0.57,31.97,30.58,-6.4
320_8,61.0,4.0,17,239, 2B-8,16,1.4,-3.0,0.0,0.0,0.0,-6.0
321_1,60.1,5.0,27,323, F7,-30,-1.7,0.0,-0.42,29.17,33.38,-7.0
321_2,61.7,8.0,24,311, 2B-7,-21,-6.4,0.4,-0.83,23.63,25.87,-7.3
321_3,60.7,7.0,17,238, 1B-7,-22,-3.3,-6.0,5.9,26.11,21.07,-6.9
321_4,62.6,8.0,-10,11, 6-3,-25,-6.4,-1.3,1.05,23.31,22.97,-8.0
321_5,60.6,7.0,15,231, 1B-8,-12,-5.0,-6.7,6.57,24.11,19.13,-7.3
321_6,61.4,8.0,25,330, 1B-7,-31,-6.7,1.7,-2.14,24.12,31.29,-7.8
321_7,59.9,12.0,17,237, F7,-30,-1.8,-25.1,0.0,0.0,0.0,-10.3
321_8,61.4,6.0,27,313, F7,-26,-1.6,5.5,-2.46,28.21,33.19,-3.0
324_1,61.0,7.0,13,233, 2B-8,-10,-3.0,-7.2,7.53,28.09,11.5,-6.9
324_2,60.3,5.0,-2,40, 1B-8,-1,1.9,-1.6,1.56,33.68,17.2,-6.3
324_3,62.2,7.0,22,315, F8,5,-4.8,-9.0,9.0,26.99,17.42,-6.6
324_4,61.0,2.0,18,291, F8,-7,3.7,-2.8,2.82,35.42,16.22,-5.9
324_5,61.7,4.0,6,136, 1B-8,1,-0.3,-7.1,0.0,0.0,0.0,-6.3
324_6,60.8,5.0,5,126, 1B-8,-7,1.1,-1.4,1.53,32.58,14.02,-6.3
324_7,61.7,12.0,7,151, 1B-8,8,-12.2,-4.7,4.06,22.67,34.29,-10.7
324_8,60.8,8.0,-6,20, 4-3,12,-3.8,-1.5,1.44,28.36,19.74,-7.1
33_1,53.1,5.0,9,195, 1B-7,-26,0.9,1.9,-2.04,35.14,40.94,-7.8
33_2,53.3,5.0,2,73, 6-3,-15,1.0,1.7,-2.14,34.06,32.59,-7.6
33_3,53.3,3.0,22,319, 2B-8,-17,5.0,3.1,-3.31,39.01,41.98,-7.2
33_4,53.4,5.0,0,53, 6-3,-17,1.6,1.4,-1.5,34.5,31.52,-7.6
33_5,53.8,6.0,11,204, 2B-8,-18,-1.8,6.2,-6.35,31.37,33.69,-7.7
334_4,60.9,7.0,-9,13, 5-3,-37,-6.4,-3.0,2.41,26.07,32.68,-7.2
334_5,60.4,4.0,7,150, 1B-7,-26,1.2,-5.9,5.1,33.48,33.03,-6.3
334_6,60.9,4.0,26,333, F8,-8,2.4,-7.3,6.64,34.18,29.46,-6.1
334_7,61.2,5.0,0,53, 1B-7,-33,0.4,-2.8,2.09,32.57,32.34,-6.2
334_8,60.5,4.0,28,356, 2B-8,-9,-0.5,-9.9,9.66,30.48,20.99,-6.5
340_2,60.6,5.0,23,323, 2B-8,17,-0.5,-2.6,2.0,32.0,27.09,-6.5
340_3,59.9,5.0,44,313, F9,23,2.6,-2.8,2.4,35.18,28.7,-6.1
340_4,60.3,4.0,7,137, 2B-9,44,-1.6,-6.4,5.4,31.51,32.38,-6.5
340_5,60.3,2.0,15,232, 2B-9,18,3.2,2.7,-2.93,35.59,26.92,-6.1
340_6,61.4,5.0,17,306, 3B-8,14,-1.6,-2.2,1.95,30.49,22.86,-6.6
340_7,61.1,5.0,21,304, F9,26,1.0,-2.2,1.75,33.67,29.54,-6.2
340_8,61.1,4.0,35,362, 2B-9,26,-0.8,-7.4,6.94,31.68,26.6,-6.4
342_1,64.8,12.0,-7,15, 4-3,15,-11.7,-1.2,0.81,21.46,27.77,-7.5
342_2,62.8,8.0,-12,12, 4-3,14,-3.1,1.6,-2.0,29.98,28.21,-6.7
342_3,62.3,5.0,0,63, 1B-9,27,1.9,-2.4,1.52,35.6,36.28,-5.8
342_4,64.1,12.0,10,202, 1B-8,7,-10.4,-2.6,1.93,23.2,31.29,-7.3
342_5,63.2,6.0,8,152, 1B-8,-11,-2.2,8.8,-8.87,30.97,29.53,-6.2
342_6,63.6,5.0,28,390, 2B-8,19,-2.1,-0.3,-0.22,31.93,37.17,-6.3
342_7,63.6,5.0,1,60, 1B-8,4,-0.7,-0.2,-0.11,32.26,28.48,-5.8
342_8,64.3,8.0,15,288, 2B-8,8,-5.5,-0.9,0.32,27.96,31.82,-6.7
343_1,59.2,7.0,10,179, F6,-15,-6.0,-6.2,5.26,27.94,36.39,-7.5
343_2,59.0,7.0,10,196, 2B-8,-17,-7.3,-5.4,4.37,26.7,37.29,-7.6
343_3,58.3,4.0,17,250, F9,25,-2.0,-5.4,5.23,29.76,20.47,-7.0
343_4,60.1,8.0,23,274, 2B-7,-18,-7.0,2.3,-2.57,26.79,35.71,-7.3
343_5,59.7,4.0,27,302, F8,-5,-1.2,-9.3,8.16,32.68,39.06,-6.7
343_6,59.9,7.0,11,196, 1B-8,-9,-5.7,-7.8,7.13,27.22,29.48,-7.3
343_7,59.5,7.0,24,314, F8,1,-4.1,-5.5,4.84,28.99,31.27,-7.0
343_8,59.8,7.0,16,252, 1B-8,-9,-4.8,-5.9,5.25,28.28,31.32,-7.1
343_9,58.2,4.0,22,329, F8,-3,-0.8,-6.4,5.65,32.4,33.1,-6.7
350_1,60.3,4.0,20,284, 2B-7,-25,1.3,-4.2,3.78,34.2,27.35,-6.3
350_2,60.6,1.0,33,316, F8,-4,3.1,-4.9,4.35,35.94,27.68,-5.9
350_4,60.6,4.0,26,301, F8,5,-1.4,-7.7,7.3,31.14,23.55,-6.3
350_5,59.8,1.0,42,294, F8,-2,4.8,-3.0,2.01,38.78,38.71,-5.9
350_6,61.7,4.0,44,277, F8,-6,1.0,-5.3,4.56,34.42,32.48,-6.0
350_7,60.3,4.0,21,319, 2B-8,-11,-0.1,-6.6,5.99,32.99,28.89,-6.4
350_8,60.2,7.0,1,58, 1B-7,-32,-3.7,-3.5,2.83,29.83,30.8,-7.1
355_1,60.2,7.0,-5,22, 6-3,-10,-3.3,-5.2,5.06,27.71,20.36,-7.2
355_2,60.4,5.0,-5,22, 1B-8,3,0.4,-1.4,1.57,30.4,12.65,-6.6
355_3,59.0,1.0,-3,38, 6-3,-22,5.5,-3.6,3.13,37.05,26.84,-6.0
355_4,61.4,7.0,13,195, 1B-8,9,-3.0,-3.5,3.44,27.62,17.37,-6.7
355_5,60.1,2.0,15,197, 1B-8,-3,4.0,-1.7,0.0,0.0,0.0,-6.1
355_6,59.3,1.0,7,135, 1B-8,4,6.2,-6.9,6.94,36.62,15.78,-6.0
355_7,60.0,1.0,12,170, 1B-8,1,6.7,-4.1,4.04,37.48,19.78,-5.8
355_8,60.3,1.0,3,78, 1B-9,26,6.1,-6.2,6.65,35.54,5.96,-5.7
36_1,51.2,2.0,26,375, 2B-8,18,2.9,1.8,-1.34,36.8,30.59,-7.4
36_2,51.0,6.0,11,219, 2B-8,13,1.9,4.9,-4.94,35.46,27.28,-7.8
36_3,51.6,5.0,19,322, 2B-8,16,-1.2,-1.0,0.73,33.09,31.18,-8.5
36_4,50.7,3.0,21,328, F8,3,5.3,5.6,-5.53,38.5,24.55,-7.6
36_5,51.1,9.0,4,103, 4-3,14,-7.7,4.0,-3.65,26.98,32.54,-9.0
360_1,58.1,1.0,26,367, 1B-8,-21,3.2,-7.1,5.58,34.35,41.79,-7.2
360_2,58.3,1.0,32,390, HR,-28,3.0,-3.5,2.17,34.36,44.28,-7.1
360_3,58.7,1.0,35,383, HR,-15,3.7,-3.1,2.18,34.3,38.85,-6.9
360_4,58.7,2.0,30,365, HR,-16,5.0,-2.3,1.47,35.29,35.92,-6.8
360_5,58.6,1.0,14,256, F7,-26,9.3,-4.3,3.14,39.84,40.78,-6.1
360_6,60.1,4.0,31,372, 2B-8,-2,0.1,-4.0,3.71,30.36,35.56,-6.8
360_7,58.9,4.0,19,331, 1B-8,-18,0.5,-6.2,4.76,31.45,40.27,-7.4
360_8,59.2,1.0,21,338, 2B-8,-9,6.7,-6.7,5.68,36.7,35.25,-6.3
363_1,59.4,5.0,21,360, 2B-7,-22,1.8,0.1,-0.66,34.7,34.37,-6.6
363_2,61.3,8.0,-4,27, 6-3,-17,-3.9,-0.7,0.48,27.59,21.52,-6.9
363_3,59.4,8.0,1,70, 1B-8,-9,-5.9,0.2,-0.21,25.48,20.77,-7.1
363_4,59.6,5.0,21,362, 2B-7,-24,-1.5,2.6,-3.01,31.02,30.67,-6.8
363_5,60.5,9.0,1,68, 1B-7,-24,-4.0,3.1,-3.21,27.71,22.96,-6.9
363_6,59.4,5.0,34,413, HR,-15,0.3,1.3,-1.93,33.36,34.63,-6.8
363_7,59.2,5.0,27,390, HR,-22,-2.4,-0.1,-0.36,30.17,30.2,-6.9
363_8,60.1,5.0,20,324, 2B-8,-15,-0.3,2.6,-2.82,31.62,24.92,-6.7
369_1,59.1,4.0,41,279, F9,20,1.7,-6.8,6.75,33.52,17.07,-6.4
369_2,59.3,8.0,14,226, 1B-7,-26,-5.0,-2.4,1.79,28.49,30.57,-7.2
369_3,60.6,7.0,-1,39, 6-3,-22,-5.3,-6.7,6.61,26.68,18.33,-6.8
369_4,60.4,7.0,23,236, 1B-8,-2,-9.2,-6.9,0.0,0.0,0.0,-7.5
369_5,59.5,6.0,40,264, F7,-30,2.1,6.8,-6.86,34.38,21.31,-6.5
369_6,58.8,7.0,10,140, F5,-36,-3.0,-5.0,3.88,31.11,35.96,-7.2
369_7,60.0,7.0,17,266, F8,-5,-3.5,-8.4,8.5,27.96,14.75,-7.0
37_1,49.8,7.0,-4,25, 6-3,-18,-4.5,-3.9,3.71,27.72,24.71,-9.1
37_2,50.7,7.0,23,322, F8,6,-5.6,-3.2,3.08,26.52,24.43,-8.9
37_3,50.8,5.0,-14,12, 6-3,-26,-1.6,-1.3,1.26,30.83,26.42,-8.8
37_4,51.0,5.0,22,319, 2B-8,-14,-0.3,-0.3,0.18,32.11,27.05,-8.3
37_5,51.9,5.0,4,99, 1B-7,-24,0.7,0.1,-0.24,32.7,24.49,-7.9
376_1,61.3,4.0,19,332, 2B-8,-13,-2.6,-3.9,3.24,28.93,32.62,-6.6
376_2,60.7,6.0,8,175, 1B-7,-24,-2.2,6.3,-6.69,30.46,42.1,-6.9
376_3,62.6,5.0,24,315, 2B-7,-21,-0.2,0.0,-0.76,31.76,37.71,-6.3
376_4,61.8,4.0,4,96, 1B-8,-8,-0.7,-8.9,7.96,31.02,34.87,-6.6
376_6,61.3,1.0,35,315, F8,-6,4.8,-4.2,0.0,0.0,0.0,-5.9
376_7,62.6,8.0,24,324, 2B-8,-13,-5.6,-2.3,1.59,26.43,35.63,-7.1
376_8,61.5,5.0,1,65, 6-3,-21,-2.7,0.0,-0.64,29.11,34.71,-6.8
378_1,60.1,2.0,28,346, 2B-8,-19,4.8,-2.4,2.14,35.5,25.0,-4.4
378_2,60.9,5.0,18,265, F7,-25,-0.7,0.9,-0.87,29.78,20.78,-4.9
378_3,60.3,5.0,47,327, F7,-18,-0.7,-1.1,0.62,30.62,31.13,-4.8
378_4,61.2,8.0,0,44, 1B-7,-25,-5.3,-2.5,2.44,25.2,20.64,-5.5
378_5,60.6,5.0,43,282, F8,-3,0.2,-2.7,2.57,30.82,23.09,-4.6
378_6,62.0,5.0,21,287, F8,-7,1.7,-2.3,2.32,31.82,16.65,-4.4
378_7,61.1,2.0,10,162, 1B-7,-29,3.1,-0.6,0.57,33.53,21.25,-4.6
378_8,61.2,1.0,31,298, F8,11,5.7,-5.5,5.56,35.64,14.98,-4.0
380_1,61.2,8.0,26,379, 2B-8,13,-9.0,-2.6,1.82,21.79,34.77,-7.7
380_2,61.8,12.0,19,309, 2B-8,19,-10.3,-1.8,0.8,20.78,36.5,-7.8
380_3,61.9,8.0,3,106, 1B-8,10,-6.4,2.6,-3.12,23.77,30.75,-7.3
380_4,61.9,8.0,17,305, 2B-8,14,-5.4,0.5,-1.08,24.93,32.16,-7.2
380_5,60.0,9.0,16,264, F9,35,-5.3,4.4,-2.63,26.82,44.27,-7.9
380_6,61.3,5.0,24,375, 2B-8,17,0.8,-1.7,0.7,31.85,38.75,-6.8
380_7,59.9,2.0,4,121, 4-3,18,3.4,2.3,-2.45,33.46,31.22,-6.5
380_8,60.6,4.0,29,398, HR,22,2.5,-3.0,1.93,33.43,38.16,-6.7
381_1,59.8,9.0,14,262, 2B-7,-43,-4.1,6.9,-7.2,28.44,33.32,-7.2
