session_swing,pitch,strike_zone,la,dist,res,bearing,vertical_distance,horizontal_distance,poi_x,poi_y,poi_z,pitch_angle
474_7,60.9,7.0,16,253, 2B-8,-16,-3.0,-4.8,4.78,28.33,16.99,-6.8
474_8,60.8,4.0,34,356, F8,-8,-0.9,-3.0,3.08,30.7,18.92,-6.7
48_1,57.0,5.0,19,319, 1B-7,-29,-2.6,2.7,-2.54,28.11,25.51,-7.2
48_2,56.9,8.0,11,218, 1B-7,-29,-3.1,-0.6,0.65,27.74,26.13,-7.3
48_3,57.1,5.0,19,321, 2B-8,-20,-1.8,-0.7,0.45,28.18,19.43,-7.4
48_4,57.7,5.0,24,368, 1B-7,-26,-2.0,-0.4,0.15,29.12,28.42,-7.3
48_5,57.4,5.0,18,297, 2B-8,-19,2.3,2.3,-2.34,32.75,23.59,-6.6
490_1,58.2,9.0,16,262, F8,1,-5.1,8.1,-7.98,25.12,18.06,-6.1
490_2,57.8,6.0,34,344, 2B-9,29,2.3,3.1,-2.14,33.57,30.24,-5.0
490_3,57.4,6.0,-7,18, U3,35,0.2,4.1,-4.3,30.07,14.24,-5.6
490_4,58.4,8.0,17,284, F9,30,-3.3,1.1,-1.49,27.85,25.94,-7.0
490_5,57.6,3.0,34,357, 2B-9,24,3.3,6.2,-5.32,34.02,23.79,-4.8
490_6,58.0,11.0,24,329, 2B-8,11,1.2,8.7,-8.27,31.76,22.32,-5.2
490_7,57.5,6.0,3,89, U3,38,-0.6,5.0,-4.32,30.49,25.92,-6.1
490_8,58.1,2.0,18,297, F9,32,3.4,0.3,0.27,34.41,27.75,-4.9
492_1,57.8,8.0,3,73, 6-3,-16,-4.5,-1.4,2.29,26.84,32.35,-6.1
492_2,58.5,13.0,48,183, Foul,50,-11.1,0.8,0.03,20.08,29.59,-6.5
492_3,58.3,8.0,5,111, 1B-8,-5,-7.6,2.2,-1.17,23.46,29.26,-6.1
492_4,58.3,13.0,28,290, F8,-9,-9.7,0.7,0.5,22.41,38.34,-6.6
492_5,58.9,12.0,22,263, 2B-8,17,-10.4,0.0,0.18,19.72,20.09,-6.7
492_6,58.6,8.0,17,267, F8,1,-3.5,-0.9,0.0,0.0,0.0,-6.8
492_7,58.9,9.0,33,299, F8,6,-4.9,4.0,-3.25,25.75,26.82,-5.8
492_8,58.6,6.0,14,219, 1B-7,-25,-0.1,3.0,-1.95,31.22,34.57,-5.2
500_1,58.9,5.0,30,389, 2B-8,-14,-0.2,-0.9,1.67,31.64,30.73,-7.1
500_2,59.6,9.0,14,281, F7,-26,-3.2,4.5,-3.54,28.6,29.78,-7.5
500_3,58.8,4.0,12,258, 1B-8,-4,1.5,-3.1,3.78,33.29,30.85,-6.9
500_4,59.8,5.0,-2,41, 6-3,-14,-2.6,1.0,-0.31,28.32,23.65,-7.1
500_5,59.5,5.0,35,388, HR,-23,0.8,2.4,-1.09,33.25,36.95,-6.7
500_6,60.1,5.0,17,287, 2B-8,8,0.8,1.1,-1.07,30.96,17.49,-6.8
500_7,59.0,2.0,30,415, HR,-31,4.5,2.3,-0.47,38.01,47.19,-6.6
500_8,58.6,1.0,2,83, 5-3,-39,8.1,-3.1,3.29,40.32,38.22,-5.8
